"","labels","COMPLAINT","COMPLIMENT","LEAD","SUGGESTION","REQUEST","Category","Content"
"5","COMPLAINT","0.807826029277622","0.130668822204527","0.0198721860744165","0.0395733536752648","0.00205960876816964","COMPLAINT","the 'typically replies in an hour' should be changed. i have messaged last night and still awaiting a response."
"11","SUGGESTION","1.44134899786258e-07","1.70213975899826e-09","1.71784166017885e-09","0.999999784467561","6.7977558044744e-08","COMPLAINT","ÿdidn't know hdfc is such a pathetic bank...i just needed to download interest statement for last year the sloppy website not accepting my credentials and when i call the customer care poor fellows are absolutely dumb!!!! and to change ipin password i changed my other details and updated several things but nothing works and then on call they said of sending some greenpin via sms. opps i don't receive any pin so now my card is also blocked. and when i visit the bank personally poor fellows as usual clueless say interest statement can only be downloaded online. opps! you people are so clueless does your management not pay you any salary are u hired 8th fail dropouts lacking any commonsense???? so now i ask on fb can you provide me my interest statement for last financial year: my cust id:45051225 phone number: 9810079237."
"14","COMPLIMENT","0.197655434875893","0.200586141281027","0.200586141281027","0.200586141281027","0.200586141281027","COMPLAINT","cheaters"
"18","COMPLAINT","0.767732336077016","0.0580669159807459","0.0580669159807459","0.0580669159807459","0.0580669159807459","COMPLAINT","third class service"
"21","SUGGESTION","0.021477261658521","0.0419430956513547","0.0419430956513547","0.823162684272426","0.0714738627663435","COMPLAINT","worst customer service"
"30","COMPLAINT","0.620957540650444","2.4527198549528e-05","4.22490300705745e-06","0.378265424090037","0.000748283157962445","COMPLAINT","i called an hdfc bank credit card person at my office for a new card. it took him a week for coming to my office. i wanted a hdfc infenia card. the sales guy told me that he does not have the form of infenia card. it has been about 15 days and he has not reverted back to me and when i did so today he says he has reverted to me whine is false. now he is saying to contact some other guy. just for getting and filling the form it has taken more than a month. this is the service that hdfc bank provides. i am very annoyed with the delay that is being taken and the round & round they are turning me by giving me contact number of different people.ÿ"
"36","COMPLAINT","0.613320634290115","0.114921790785285","0.248349440228474","0.0154216413354615","0.00798649336066509","COMPLAINT","lets launch a campaign against hdfc banki have enough evidences"
"39","SUGGESTION","0.0248117160744426","2.69964439026424e-05","2.03071966759526e-06","0.975157245598803","2.01116318439066e-06","COMPLAINT","what kind of credit card servicing team hdfc runs. i am amazed with cumbursome customer torturing processes. i discovered some time ago that on my expired card there inr 129.61 (hundred twenty nine rupees and sixty one paisa) pending. i paid out thatÿentire amount. surprisingly after a year i got another bill yesterday claiming an immediate payout of inr 3.57 (three rupees and fifty seven paisa). when i call customer care that what is it now for they are not able to responsed."
"42","SUGGESTION","0.024452014005774","0.366593082788331","0.000920580911275525","0.606798372655158","0.00123594963946161","COMPLAINT","worst customer service i had ever seen in my life never ever take loan or any dealings. today i went to close my loan and the staff in branch cochin banarjee road are like enemies they are seeing the customers by the grace of god now i don't have any dealings with this killing bank service charge and closure charges"
"44","COMPLAINT","0.929936912037343","0.0289036895329849","0.00835365615892353","0.0118804328400057","0.020925309430743","COMPLAINT","why this bank doesn't consider the time of customers almost 30 customers waiting and only one counter is open in cochin banarjee road branch."
